0001	NC_062234.1	0	100000
0002	NC_062234.1	100000	200000
0003	NC_062234.1	200000	300000
0004	NC_062234.1	300000	400000
0005	NC_062234.1	400000	500000
0006	NC_062234.1	500000	600000
0007	NC_062234.1	600000	700000
0008	NC_062234.1	700000	800000
0009	NC_062234.1	800000	900000
0010	NC_062234.1	900000	1000000
0011	NC_062234.1	1000000	1100000
0012	NC_062234.1	1100000	1200000
0013	NC_062234.1	1200000	1300000
0014	NC_062234.1	1300000	1400000
0015	NC_062234.1	1400000	1500000
0016	NC_062234.1	1500000	1600000
0017	NC_062234.1	1600000	1700000
0018	NC_062234.1	1700000	1800000
0019	NC_062234.1	1800000	1900000
0020	NC_062234.1	1900000	2000000
0021	NC_062234.1	2000000	2100000
0022	NC_062234.1	2100000	2200000
0023	NC_062234.1	2200000	2300000
0024	NC_062234.1	2300000	2400000
0025	NC_062234.1	2400000	2500000
0026	NC_062234.1	2500000	2600000
0027	NC_062234.1	2600000	2700000
0028	NC_062234.1	2700000	2800000
0029	NC_062234.1	2800000	2900000
0030	NC_062234.1	2900000	3000000
0031	NC_062234.1	3000000	3100000
0032	NC_062234.1	3100000	3200000
0033	NC_062234.1	3200000	3300000
0034	NC_062234.1	3300000	3400000
0035	NC_062234.1	3400000	3500000
0036	NC_062234.1	3500000	3600000
0037	NC_062234.1	3600000	3700000
0038	NC_062234.1	3700000	3800000
0039	NC_062234.1	3800000	3900000
0040	NC_062234.1	3900000	4000000
0041	NC_062234.1	4000000	4100000
0042	NC_062234.1	4100000	4200000
0043	NC_062234.1	4200000	4300000
0044	NC_062234.1	4300000	4400000
0045	NC_062234.1	4400000	4500000
0046	NC_062234.1	4500000	4600000
0047	NC_062234.1	4600000	4700000
0048	NC_062234.1	4700000	4800000
0049	NC_062234.1	4800000	4900000
0050	NC_062234.1	4900000	5000000
0051	NC_062234.1	5000000	5100000
0052	NC_062234.1	5100000	5200000
0053	NC_062234.1	5200000	5300000
0054	NC_062234.1	5300000	5400000
0055	NC_062234.1	5400000	5500000
0056	NC_062234.1	5500000	5600000
0057	NC_062234.1	5600000	5700000
0058	NC_062234.1	5700000	5800000
0059	NC_062234.1	5800000	5900000
0060	NC_062234.1	5900000	6000000
0061	NC_062234.1	6000000	6100000
0062	NC_062234.1	6100000	6200000
0063	NC_062234.1	6200000	6300000
0064	NC_062234.1	6300000	6400000
0065	NC_062234.1	6400000	6500000
0066	NC_062234.1	6500000	6600000
0067	NC_062234.1	6600000	6700000
0068	NC_062234.1	6700000	6800000
0069	NC_062234.1	6800000	6900000
0070	NC_062234.1	6900000	7000000
0071	NC_062234.1	7000000	7100000
